Input,Input Hex,Description,Rounding Mode,Result,Result Hex
-2.7182818283999998,0xc005bf0a8b12500b,"-e","Round toward zero",-2,0xfffffffe
2147483647,0x41dfffffffc00000,"Max int32","Round to nearest",2147483647,0x7fffffff
2147483647,0x41dfffffffc00000,"Max int32","Round toward -inf",2147483647,0x7fffffff
2147483647,0x41dfffffffc00000,"Max int32","Round toward +inf",2147483647,0x7fffffff
2147483647,0x41dfffffffc00000,"Max int32","Round toward zero",2147483647,0x7fffffff
2147483648,0x41e0000000000000,"> Max int32","Round to nearest",-2147483648,0x80000000
2147483648,0x41e0000000000000,"> Max int32","Round toward -inf",-2147483648,0x80000000
2147483648,0x41e0000000000000,"> Max int32","Round toward +inf",-2147483648,0x80000000
2147483648,0x41e0000000000000,"> Max int32","Round toward zero",-2147483648,0x80000000
-2147483648,0xc1e0000000000000,"Min int32","Round to nearest",-2147483648,0x80000000
-2147483648,0xc1e0000000000000,"Min int32","Round toward -inf",-2147483648,0x80000000
-2147483648,0xc1e0000000000000,"Min int32","Round toward +inf",-2147483648,0x80000000
-2147483648,0xc1e0000000000000,"Min int32","Round toward zero",-2147483648,0x80000000
-2147483649,0xc1e0000000200000,"< Min int32","Round to nearest",-2147483648,0x80000000
-2147483649,0xc1e0000000200000,"< Min int32","Round toward -inf",-2147483648,0x80000000
-2147483649,0xc1e0000000200000,"< Min int32","Round toward +inf",-2147483648,0x80000000
-2147483649,0xc1e0000000200000,"< Min int32","Round toward zero",-2147483648,0x80000000
